Day,Month,Year,Valor COLCAP,Variacion absoluta,Variacion porcentual
7,10,2009,1355.56,-1.01,-0.000745
8,10,2009,1346.83,-8.73,-0.00644
9,10,2009,1333.44,-13.39,-0.009942
13,10,2009,1303.03,-30.41,-0.022806
14,10,2009,1294.39,-8.64,-0.006631
15,10,2009,1294.11,-0.28,-0.000216
16,10,2009,1301.69,7.58,0.005857
19,10,2009,1330.8,29.11,0.022363
20,10,2009,1315.97,-14.83,-0.011144
21,10,2009,1317.07,1.1,0.000836
22,10,2009,1308.64,-8.43,-0.006401
23,10,2009,1303.29,-5.35,-0.004088
26,10,2009,1288.81,-14.48,-0.01111
27,10,2009,1277.91,-10.9,-0.008457
28,10,2009,1279.22,1.31,0.001025
29,10,2009,1289.97,10.75,0.008404
30,10,2009,1257.17,-32.8,-0.025427
3,11,2009,1240.95,-16.22,-0.012902
4,11,2009,1262.5,21.55,0.017366
5,11,2009,1280.4,17.9,0.014178
6,11,2009,1279.75,-0.65,-0.000508
9,11,2009,1303,23.25,0.018168
10,11,2009,1304.06,1.06,0.000814
11,11,2009,1303.86,-0.2,-0.000153
12,11,2009,1308.45,4.59,0.00352
13,11,2009,1311.43,2.98,0.002278
17,11,2009,1314.81,3.38,0.002577
18,11,2009,1299.42,-15.39,-0.011705
19,11,2009,1301.12,1.7,0.001308
20,11,2009,1301.85,0.73,0.000561
23,11,2009,1305.65,3.8,0.002919
24,11,2009,1312.26,6.61,0.005063
25,11,2009,1327.17,14.91,0.011362
26,11,2009,1316.16,-11.01,-0.008296
27,11,2009,1328.31,12.15,0.009231
30,11,2009,1318.05,-10.26,-0.007724
1,12,2009,1335.21,17.16,0.013019
2,12,2009,1337.22,2.01,0.001505
3,12,2009,1356.57,19.35,0.01447
4,12,2009,1353.58,-2.99,-0.002204
7,12,2009,1358.31,4.73,0.003494
9,12,2009,1357.77,-0.54,-0.000398
10,12,2009,1351.02,-6.75,-0.004971
11,12,2009,1366.34,15.32,0.01134
14,12,2009,1366.46,0.12,0.000088
15,12,2009,1368.48,2.02,0.001478
16,12,2009,1379.58,11.1,0.008111
17,12,2009,1382.63,3.05,0.002211
18,12,2009,1370.34,-12.29,-0.008889
21,12,2009,1369.56,-0.78,-0.000569
22,12,2009,1365.23,-4.33,-0.003162
23,12,2009,1364.13,-1.1,-0.000806
24,12,2009,1372.72,8.59,0.006297
28,12,2009,1365.06,-7.66,-0.00558
29,12,2009,1366.35,1.29,0.000945
30,12,2009,1366.85,0.5,0.000366
4,1,2010,1374.28,7.43,0.005436
5,1,2010,1373.23,-1.05,-0.000764
6,1,2010,1373.89,0.66,0.000481
7,1,2010,1368.91,-4.98,-0.003625
8,1,2010,1374.72,5.81,0.004244
12,1,2010,1369.53,-5.19,-0.003775
13,1,2010,1379.91,10.38,0.007579
14,1,2010,1386.91,7,0.005073
15,1,2010,1382.66,-4.25,-0.003064
18,1,2010,1382.07,-0.59,-0.000427
19,1,2010,1386.01,3.94,0.002851
20,1,2010,1381.8,-4.21,-0.003037
21,1,2010,1355.28,-26.52,-0.019192
22,1,2010,1364.33,9.05,0.006678
25,1,2010,1345.31,-19.02,-0.013941
26,1,2010,1357.8,12.49,0.009284
27,1,2010,1355.8,-2,-0.001473
28,1,2010,1353.57,-2.23,-0.001645
29,1,2010,1363.67,10.1,0.007462
1,2,2010,1358.49,-5.18,-0.003799
2,2,2010,1363.85,5.36,0.003946
3,2,2010,1359.43,-4.42,-0.003241
4,2,2010,1334.8,-24.63,-0.018118
5,2,2010,1326.08,-8.72,-0.006533
8,2,2010,1327.03,0.95,0.000716
9,2,2010,1345.54,18.51,0.013948
10,2,2010,1353.7,8.16,0.006064
11,2,2010,1358.21,4.51,0.003332
12,2,2010,1355.84,-2.37,-0.001745
15,2,2010,1357.59,1.75,0.001291
16,2,2010,1364.53,6.94,0.005112
17,2,2010,1366.11,1.58,0.001158
18,2,2010,1359.64,-6.47,-0.004736
19,2,2010,1372.51,12.87,0.009466
22,2,2010,1372.84,0.33,0.00024
23,2,2010,1379.75,6.91,0.005033
24,2,2010,1398.47,18.72,0.013568
25,2,2010,1385.85,-12.62,-0.009024
26,2,2010,1391.02,5.17,0.003731
1,3,2010,1392.91,1.89,0.001359
2,3,2010,1391.36,-1.55,-0.001113
3,3,2010,1401.53,10.17,0.007309
4,3,2010,1398.81,-2.72,-0.001941
5,3,2010,1399.63,0.82,0.000586
8,3,2010,1408.35,8.72,0.00623
9,3,2010,1403.17,-5.18,-0.003678
10,3,2010,1403.82,0.65,0.000463
11,3,2010,1405.26,1.44,0.001026
12,3,2010,1406.49,1.23,0.000875
15,3,2010,1404.42,-2.07,-0.001472
16,3,2010,1411.71,7.29,0.005191
17,3,2010,1429.4,17.69,0.012531
18,3,2010,1432.3,2.9,0.002029
19,3,2010,1414.1,-18.2,-0.012707
23,3,2010,1426.74,12.64,0.008939
24,3,2010,1422.69,-4.05,-0.002839
25,3,2010,1427.24,4.55,0.003198
26,3,2010,1423.02,-4.22,-0.002957
29,3,2010,1429.29,6.27,0.004406
30,3,2010,1430.71,1.42,0.000994
31,3,2010,1440.58,9.87,0.006899
5,4,2010,1450.93,10.35,0.007185
6,4,2010,1460.3,9.37,0.006458
7,4,2010,1472.19,11.89,0.008142
8,4,2010,1472.76,0.57,0.000387
9,4,2010,1468.95,-3.81,-0.002587
12,4,2010,1470.7,1.75,0.001191
13,4,2010,1470.91,0.21,0.000143
14,4,2010,1478.47,7.56,0.00514
15,4,2010,1481.14,2.67,0.001806
16,4,2010,1463.27,-17.87,-0.012065
19,4,2010,1453.14,-10.13,-0.006923
20,4,2010,1467.76,14.62,0.010061
21,4,2010,1475.06,7.3,0.004974
22,4,2010,1478.51,3.45,0.002339
23,4,2010,1488.05,9.54,0.006452
26,4,2010,1484.44,-3.61,-0.002426
27,4,2010,1472.11,-12.33,-0.008306
28,4,2010,1457.28,-14.83,-0.010074
29,4,2010,1469.22,11.94,0.008193
